V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,subject,subj,Q1,rfq1,rfq2,rfq3,rfq4,rfq5,rfq6,rfq7,rfq8,rfq9,rfq10,rfq11,se1,se2,se3,se4,se5,se6,se7,se8,se9,se10,rmq1,rmq2,rmq3,rmq4,rmq5,rmq6,rmq7,rmq8,rmq9,rmq10,rmq11,rmq12,rmq13,rmq14,rmq15,rmq16,rmq17,rmq18,rmq19,rmq20,rmq21,rmq22,rmq23,rmq24,rmq25,rmq26,rmq27,rmq28,rmq29,rmq30,attchk,Q6,age,gender,gender_TEXT,hispanic,race,race_TEXT,relstat,relstat_TEXT,Q12,Q13,Q17,LocationLatitude,LocationLongitude,LocationAccuracy
R_2BbM50KI2j5kFrw,Default Response Set,Anonymous,,,128.59.230.241,0,10/18/16 14:15,10/18/16 14:26,1,1,266,110890,1,1,5,3,4,2,5,5,4,4,5,2,6,2,6,7,1,2,5,3,2,5,3,2,4,3,5,1,4,6,6,5,5,1,3,5,6,6,4,2,5,5,5,3,1,4,6,4,2,6,5,5,3,1,19,1,,0,5,,1,,motivation,no,1,40.80059814,-73.96530151,-1
R_pT0q0dZDKsIeL7j,Default Response Set,Anonymous,,,128.59.230.241,0,10/18/16 14:26,10/18/16 14:49,1,1,267,110095,1,2,2,4,2,4,2,4,1,2,4,4,5,6,6,6,3,2,6,3,2,6,6,2,6,5,6,3,4,5,3,6,5,2,2,5,6,6,4,3,5,5,6,1,5,2,3,2,3,6,6,2,3,1,29,2,,0,2,,3,,Maybe on personality types,"it was a six point scale - while there was a ""disagree"" option, there was no ""agree"" option available. I felt some questions were asking the same thing in different ways :) ",1,40.80059814,-73.96530151,-1
R_SJiJ09m4efWwk37,Default Response Set,Anonymous,,,128.59.230.104,0,10/20/16 11:33,10/20/16 12:06,1,1,268,268,1,2,2,4,1,2,2,4,3,2,4,1,6,2,6,6,5,2,7,3,2,6,5,1,6,6,5,6,5,6,6,3,5,2,5,3,5,6,4,2,5,6,6,6,5,4,4,1,1,4,5,6,3,1,18,1,,0,5,,1,,"Relationship between how motivated or ""active"" someone is and how they feel about themselves.","It bothered me that the last page of questions didnt have an agreed column, only somewhat agree and strongly agree.",1,40.80059814,-73.96530151,-1
R_1pEHbDlobM0ykpE,Default Response Set,Anonymous,,,128.59.230.104,0,10/20/16 12:11,10/20/16 12:19,1,1,269,269,1,1,2,4,3,4,2,4,2,1,4,2,6,2,6,5,2,2,7,2,1,6,5,3,4,6,5,3,5,5,3,2,5,1,3,4,2,5,5,5,5,3,5,5,2,1,5,2,3,5,5,6,3,1,21,2,,0,5,,1,,No,I think it was fine,1,40.80059814,-73.96530151,-1
R_3hGgSs20K9oY12X,Default Response Set,Anonymous,,,128.59.230.104,0,10/20/16 12:24,10/20/16 12:38,1,1,270,270,1,2,1,3,1,4,2,4,3,3,4,2,5,3,7,6,2,5,7,2,2,6,5,1,2,6,4,4,5,4,6,3,6,1,4,3,6,5,2,2,5,6,2,2,2,4,3,2,1,4,3,4,3,1,18,2,,0,6,,1,,Not really. Maybe about how certain demographics are likely to perceive themselves?,I don't have any particular comments. It was all straightforward and easy to answer (I have taken similar questionnaires before).,1,40.80059814,-73.96530151,-1
R_1dn40hQ8Z2Zovgt,Default Response Set,Anonymous,,,128.59.230.104,0,10/20/16 12:38,10/21/16 10:59,1,1,271,271,1,2,4,4,4,4,4,4,3,3,4,3,5,5,6,7,2,3,6,7,2,5,5,1,5,6,5,6,6,4,6,2,6,2,4,5,6,5,4,5,6,5,6,5,2,4,6,1,1,5,4,5,3,1,26,1,,0,5,,6,Non-married/engaged relationship,The correlation between attitudes/self evaluation and motivation.,"Not really, everything was laid out clearly enough and avoided confusion.",1,40.80059814,-73.96530151,-1
R_1KehwBaXV8m7FO2,Default Response Set,Anonymous,,,128.59.230.104,0,10/21/16 10:59,10/21/16 11:16,1,1,272,102922,1,1,1,3,1,4,2,5,3,2,3,4,6,2,6,4,2,2,6,3,2,6,4,4,4,5,4,3,5,5,5,5,4,2,3,5,5,5,5,2,5,3,4,4,3,2,4,3,5,5,5,2,3,1,20,2,,0,2,,1,,No,No,1,40.80059814,-73.96530151,-1
R_11bdEQAGA3bizHS,Default Response Set,Anonymous,,,128.59.230.104,0,10/21/16 11:16,10/21/16 11:23,1,1,273,69121,1,2,1,3,1,4,1,4,3,2,4,3,6,2,6,7,2,2,7,3,1,5,5,2,2,5,4,3,5,4,5,3,4,1,4,2,4,5,4,2,5,4,4,4,1,1,5,3,2,5,4,6,3,1,22,1,,0,6,,1,,How do personality traits affect self esteem and self confidence?,"Fairly straight forward, no complaints.",1,40.80059814,-73.96530151,-1
R_xtoGq4q2AscoExP,Default Response Set,Anonymous,,,128.59.230.104,0,10/21/16 11:32,10/21/16 11:56,0,1,274,102937,1,4,2,4,3,4,2,4,2,3,4,2,5,5,5,4,4,5,5,4,4,4,5,1,4,5,4,5,5,4,2,4,5,2,5,2,5,4,4,4,3,5,6,3,2,4,5,3,1,5,4,4,3,1,26,2,,0,5,,1,,"No. If I had to guess I'd say you are trying to correlate personality types with a certain orientation/attitude about actively ""doing things,"" motivation, etc., but I am not sure.",No. Everything seemed correct and fairly straightforward.,,,,-1
R_bIXNwLrUni7kIGB,Default Response Set,Anonymous,,,128.59.230.123,0,10/3/16 10:54,10/3/16 11:02,1,1,301,91900,1,2,1,3,2,5,1,3,1,3,4,1,6,5,7,4,1,5,4,2,1,6,5,2,4,4,4,5,5,5,3,3,4,1,2,5,4,5,3,1,5,5,5,4,2,2,6,3,2,4,5,2,3,1,20,2,,1,5,,1,,I have no idea. ,I feel like I answer these questions before every study I complete. ,1,40.80059814,-73.96530151,-1
R_1HnmKjfVNfnK2f7,Default Response Set,Anonymous,,,128.59.230.123,0,10/3/16 11:28,10/3/16 11:37,1,1,303,107422,1,2,2,4,3,4,2,4,3,2,4,3,6,3,6,5,3,3,5,2,2,7,5,3,4,5,4,5,5,5,2,5,5,1,3,3,4,5,4,3,4,4,5,3,3,3,5,4,3,5,5,4,3,1,21,1,,0,2,,1,,If certain aspects of your personality and identity affect how you approach tasks,I thought it was clear and I think I did a thorough job when contemplating my answers for each situation,1,40.80059814,-73.96530151,-1
R_1otox3LrkUBLcvb,Default Response Set,Anonymous,,,128.59.230.123,0,10/3/16 11:49,10/3/16 11:57,1,1,304,107896,1,2,1,5,1,5,1,4,3,1,5,2,6,2,7,6,2,5,5,5,1,7,6,4,5,6,6,6,4,6,6,4,5,1,4,6,2,5,5,4,4,5,5,4,4,1,5,3,2,5,5,5,3,1,25,2,,0,7,Asian-American,1,,"Self-motivation, self-reflection ",The mouse on the computer was a little hard to control. The survey itself was fun to take! ,1,40.80059814,-73.96530151,-1
R_294T0GPfCkFAntL,Default Response Set,Anonymous,,,128.59.230.123,0,10/3/16 12:18,10/3/16 12:27,1,1,305,105403,1,2,1,4,2,5,1,4,2,4,3,2,5,1,4,6,5,1,6,2,1,7,6,5,5,3,6,2,5,6,6,5,6,1,3,2,5,5,2,2,6,5,5,2,2,1,3,2,5,6,5,2,3,1,24,1,,0,2,,2,,Social Interactions and Work Habits of different personalities,No comments. Nice survey.,1,40.80059814,-73.96530151,-1
R_1NrKwRI5hjguCo4,Default Response Set,Anonymous,,,128.59.230.123,0,10/3/16 12:31,10/3/16 12:39,1,1,306,105298,1,2,2,3,2,4,2,3,2,2,4,1,6,3,7,6,1,3,6,3,1,7,5,3,4,6,5,4,5,5,5,5,4,1,3,2,5,6,4,3,4,2,4,3,2,1,5,2,4,5,5,4,3,1,18,1,,0,2,,1,,I think this was an investigation into the different views people have of themselves and of other people.,Everything was perfectly clear.,1,40.80059814,-73.96530151,-1
R_1M6ZsWRZ0Djj90k,Default Response Set,Anonymous,,,128.59.230.123,0,10/3/16 11:08,10/3/16 11:14,1,1,302,108172,1,2,2,4,1,4,1,4,2,2,2,1,1,7,6,5,7,7,5,7,7,7,6,1,5,6,6,5,4,5,6,6,6,1,3,1,5,6,2,2,5,5,4,3,2,5,5,1,2,5,5,5,3,1,46,2,,1,5,,1,,No.,"I think ""rarely"" should have been an option for answers.",1,40.80059814,-73.96530151,-1
